Topic area,Label_1,Definition
Education,"education po, vmbo (%)",Percentage of the population aged 15 to 74 with no degree or a vmbo degree (preparatory vocational education).
Education,"education hbo, wo (%)",Percentage of the population aged 15 to 74 with a hbo or university degree (higher vocational education or university).
Education,"education mbo, havo, vwo (%)","Percentage of the population aged 15 to 74 with a mbo, havo or vwo degree (general to higher secondary education)."
Education,Secondary education: demotion 3rd year,Percentage of secondary school pupils in their 3rd year that are following classes on a lower level than the school advice they received when finishing primary school.
Education,% School advice havo or vwo (CBS),"Percentage of 8th graders that received a school advice: higher general secondary education or pre-university education (havo or vwo) based on numbers of Statistics Netherlands (CBS)







Numbers are only available for areas with at least 15 8th graders."
Education,Primary education: % students with primary school/vmbo educated parents,"Percentage of primary school pupils (excluding Special primary education) living in the area,  whose highest educated parent is educated in primary education or vmbo







Numbers are only available for areas with at least 100 students and 20 low educated parents."
Education,Primary education: % students with middle educated parents,"Percentage of primary school pupils (excluding Special primary education) living in the area, whose highest educated parent is middle educated (mbo or havo/vwo)







Numbers are only available for areas with at least 100 students and 20 middle educated parents."
Education,Primary education: % students with hbo/wo educated parents,"Percentage of primary school pupils (excluding Special primary education) living in the area with at least one hbo or university educated parent 







Numbers are only available for areas with at least 100 students and 20 high educated parents."
Education,Secondary education: % pupils with primary school/vmbo educated parents,"Percentage of secondary school pupils living in the area, whose highest educated parent is educated in primary education or vmbo







Numbers are only available for areas with at least 100 students and 20 low educated parents."
Education,Secondary education: % students with middle educated parents,"Percentage of secondary school pupils living in the area, whose highest educated parent is middle educated (mbo or havo/vwo)







Numbers are only available for areas with at least 100 students and 20 middle educated parents."
Education,Secondary education: % students with hbo/wo educated parents,"Percentage of secondary school pupils living in the area  with at least one hbo or university educated parent 







Numbers are only available for areas with at least 100 students and 20 high educated parents."
Education,% School advice  PRO/VMBO-BK,"Percentage of 8th graders that received a school advice: basic vocational education ('Praktijkonderwijs' VMBO-B of VMBO-K)







A percentage of 90% stands for 90% or more.



 



Numbers are only available for areas with at least 15 8th graders."
Education,% School advice  VMBO -GT/HAVO,"Percentage of 8th graders that received a school advice: preparatory vocational secondary education (VMBO-G or VMBO-T or VMBO-T/HAVO)







 Numbers are only available for areas with at least 15 8th graders."
Education,Primary schools (1-10),"Average answer to the question: 



What is your opinion on the availability of primary schools in your neighbourhood? 



1 = very insufficient and 10 = very sufficient.







Numbers are only available for areas with at least 20 respondents."
Education,18-22 yrs.: % knowledge migrants,"Percentage of 18- to 22-year-olds that are registered as 'knowledge migrants'







The level of education of  'knowledge migrants'' is unknown, because they received their educated in a foreign country.  







Numbers are only available for areas with at least 15 persons aged between 18 and 22."
Education,Base generation projection 2023,"Projection in 2023 for the size of the base generation on January 1st in future years.







The base generation is the number of children aged 4 to 11 and 30% of children aged 12."
Education,18-22 years: above school-leaving age,"Number of people registered in Amsterdam aged 18 to 23 on January 1st







People aged 18 to 23 are no longer obligated to follow education if they have met the standards for a basic qualification. Basic qualification: a diploma for higher general secondary education or senior secondary vocational education level 2."
Education,Primary education: pupils,Number of primary school pupils in the area
Education,Special primary education: pupils,"Number of pupils at schools for Special primary education (SBO) in the area. Special primary education is meant for children aged 4 to 11 with learning disabilities or raising difficulties and all other children who need special support and attention. 







"
